index,address,amount
0,0xbd17b1069816c3194e8a7a264f32b8f037d82f8e,130446012634408599552
1,0x66147ec1f1d518b1c1710d79536cdbeabc3d1e71,10173650000000006144
2,0xfa539d4b0724c5a4ff702059576f4df8773a4af2,10173650000000006144
3,0x67ce43ff82711783014f47e88904dfe784410111,10173650000000006144
4,0x0782ea8e5491da625672bd28248557b1237dd6ea,9974166666666680320
5,0x0f7a8ebabea76a2ed2fda765430c060b6d8c5d57,9974166666666680320
6,0x11371a28c9b64841392353f8f8e49bda5be271cf,9974166666666680320
7,0x1956ae04dc039e1690924f54e6afa2895aa8f609,9974166666666680320
8,0x1ced922add26f84eca74656f3cb0594ded78c524,9974166666666680320
9,0x1d56a5ed5cbeaa8885bb61c820b7f897da00531c,10173650000000006144
10,0x1dbbcb25c3960bf40dfba542ebd5657daf6ea566,9974166666666680320
11,0x211d67957fd6502e8b5e383753b33aba4908b095,9974166666666680320
12,0x2305a370e186a87f3dffd08c9a0b1f31e9520249,9974166666666680320
13,0x240a69cb275ae0635a5ca05cd3b4c1de1f9b7693,9974166666666680320
14,0x25d31e1b6c56d14369d06f91212b7c06b391fa01,9974166666666680320
15,0x2f7ce6efe7480403d0ab55ad073a0e45aa791d38,9974166666666680320
16,0x3154677b603c2b30810b46a56b46892aa09d60e2,9974166666666680320
17,0x31dab15964ea8d3e31bcaf33e52abcb0265bbf23,9974166666666680320
18,0x3703416882864edc058c35e8da5af0b3b135d6bb,9974166666666680320
19,0x3b7e00fae72e5aa85787b7bb70561a9312c3a18e,9974166666666680320
20,0x3c9de435093f0e8e847445357c144587a2fbc9ce,9974166666666680320
21,0x3e70ae34a1c03d8c0ca29bde2144ddc91dfaff23,9974166666666680320
22,0x424aab7795b22e6dad365157cd8c597c8ce2b03d,9974166666666680320
23,0x43ef5ecefd3e40fb04cf51810e12de876c50bb6c,9974166666666680320
24,0x47a92c6ad39044362f8dd4f87036d2e0c147ad81,9974166666666680320
25,0x4c501c8f780f2a4cfa1b549a10d37a1ef0d0c35e,9974166666666680320
26,0x4ed2bd6c6e2d078a5a918c39e85e75eae7048b10,9974166666666680320
27,0x558dcf052d5ecbc782deaec00d44b213b3907a5e,9974166666666680320
28,0x5da13a5131509f5ba6976dd93ebeb8e8e3bb4504,9974166666666680320
29,0x627a12ce1f6d42c9305e03e83fe044e8c3c1a32c,9974166666666680320
30,0x66e3e7eb654385eda94edb769b2c0d2e23fb1c43,9974166666666680320
31,0x69eb750e930bee23f362aed991c011b890c36e54,9974166666666680320
32,0x6b3db5066703e05b4abb303ee9bee72fe8a77c8d,9974166666666680320
33,0x70b3a762189f3dfe24c6f05376105f0092d141d7,9974166666666680320
34,0x77c9e3fe327e90dd4027acdf087bf5082ff9db3f,9974166666666680320
35,0x7939b98d257a14fc3f0dad30f699be2c0cba7d53,9974166666666680320
36,0x79befafb26b5f5ab4f6f424d8867a177075214a9,9974166666666680320
37,0x7ddb1ab23bfc35b1af9987b0740c1291a994fd3a,9974166666666680320
38,0x86aef9beac77fee6f2165e515fce6505f40afc27,9974166666666680320
39,0x87b11cb8bf0052f1c9f6780d56102e4a1779db41,9974166666666680320
40,0x87e7c5afd8eb9776d7402993c95af3f5727513f2,9974166666666680320
41,0x8a9e875eeb70e2a35f0eb34999cc981bc2882f44,9974166666666680320
42,0x8adedee4d877af46c4665be6e38c21c7d4aa8a5b,9974166666666680320
43,0x9220a7470ea712f0b56a3ea1232fd11070eaeff0,9974166666666680320
44,0x925c17961466b39b528ab54568b81d3efb59abcd,9974166666666680320
45,0x95845a669d2e35e25d038cc8813d51ff82938141,9974166666666680320
46,0x98440184426887970b7c3141e3019b6f39406476,9974166666666680320
47,0x99a144ddbc8a0e2938878c2655fc1ce9620639f7,9974166666666680320
48,0x9f13c11426a4794c721948fadbd4cd079e556e37,9974166666666680320
49,0x9fbabba60ac93b65184f8992900b01a03f92d93c,9974166666666680320
50,0x9ffbc8ca4c4790a7887d1f3e0dcd7e879b6ff26a,9974166666666680320
51,0xa85faf1b65984cce06ce587103c4166b929a1281,9974166666666680320
52,0xa9d6ab42f32dc476269db2407715d8c15a36d781,11370549999999997952
53,0xaae7223ed3eb891de6ff6372f12183e12450cc12,9974166666666680320
54,0xadff18dcfbd179fa03f79d6f45bdda6abe801d65,9974166666666680320
55,0xaea38b52d0ba2a6c031c40d11d80b42f31cc3499,9974166666666680320
56,0xaeb2746fe0e7a5b815cb246e06e3d165f1936808,9974166666666680320
57,0xb056e8e084cbb0f2fa65421be98804a767c2fcf1,9974166666666680320
58,0xb23c95807591d6d99e107c27b2c7f8caf997f948,19948333333333360640
