index,address,amount
0,0xbd17b1069816c3194e8a7a264f32b8f037d82f8e,35516355140186914816
1,0x66147ec1f1d518b1c1710d79536cdbeabc3d1e71,1072429906542056064 
2,0xfa539d4b0724c5a4ff702059576f4df8773a4af2,1072429906542056064
3,0x67ce43ff82711783014f47e88904dfe784410111,1072429906542056064
4,0x0782ea8e5491da625672bd28248557b1237dd6ea,1051401869158878464
5,0x0f7a8ebabea76a2ed2fda765430c060b6d8c5d57,1051401869158878464
6,0x11371a28c9b64841392353f8f8e49bda5be271cf,1051401869158878464
7,0x1956ae04dc039e1690924f54e6afa2895aa8f609,1051401869158878464
8,0x1ced922add26f84eca74656f3cb0594ded78c524,1051401869158878464
9,0x1d56a5ed5cbeaa8885bb61c820b7f897da00531c,1051401869158878464
10,0x1dbbcb25c3960bf40dfba542ebd5657daf6ea566,1051401869158878464
11,0x211d67957fd6502e8b5e383753b33aba4908b095,1051401869158878464
12,0x2305a370e186a87f3dffd08c9a0b1f31e9520249,1051401869158878464
13,0x240a69cb275ae0635a5ca05cd3b4c1de1f9b7693,1051401869158878464
14,0x25d31e1b6c56d14369d06f91212b7c06b391fa01,1051401869158878464
15,0x2f7ce6efe7480403d0ab55ad073a0e45aa791d38,1051401869158878464
16,0x3154677b603c2b30810b46a56b46892aa09d60e2,1051401869158878464
17,0x31dab15964ea8d3e31bcaf33e52abcb0265bbf23,1051401869158878464
18,0x3703416882864edc058c35e8da5af0b3b135d6bb,1051401869158878464
19,0x3b7e00fae72e5aa85787b7bb70561a9312c3a18e,1051401869158878464
20,0x3c9de435093f0e8e847445357c144587a2fbc9ce,1051401869158878464
21,0x3e70ae34a1c03d8c0ca29bde2144ddc91dfaff23,1051401869158878464
22,0x424aab7795b22e6dad365157cd8c597c8ce2b03d,1051401869158878464
23,0x43ef5ecefd3e40fb04cf51810e12de876c50bb6c,1051401869158878464
24,0x47a92c6ad39044362f8dd4f87036d2e0c147ad81,1051401869158878464
25,0x4c501c8f780f2a4cfa1b549a10d37a1ef0d0c35e,1051401869158878464
26,0x4ed2bd6c6e2d078a5a918c39e85e75eae7048b10,1051401869158878464
27,0x558dcf052d5ecbc782deaec00d44b213b3907a5e,1051401869158878464
28,0x5da13a5131509f5ba6976dd93ebeb8e8e3bb4504,1051401869158878464
29,0x627a12ce1f6d42c9305e03e83fe044e8c3c1a32c,1051401869158878464
30,0x66e3e7eb654385eda94edb769b2c0d2e23fb1c43,1051401869158878464
31,0x69eb750e930bee23f362aed991c011b890c36e54,1051401869158878464
32,0x6b3db5066703e05b4abb303ee9bee72fe8a77c8d,1051401869158878464
33,0x70b3a762189f3dfe24c6f05376105f0092d141d7,1051401869158878464
34,0x77c9e3fe327e90dd4027acdf087bf5082ff9db3f,1051401869158878464
35,0x7939b98d257a14fc3f0dad30f699be2c0cba7d53,1051401869158878464
36,0x79befafb26b5f5ab4f6f424d8867a177075214a9,1051401869158878464
37,0x7ddb1ab23bfc35b1af9987b0740c1291a994fd3a,1051401869158878464
38,0x86aef9beac77fee6f2165e515fce6505f40afc27,1051401869158878464
39,0x87b11cb8bf0052f1c9f6780d56102e4a1779db41,1051401869158878464
40,0x87e7c5afd8eb9776d7402993c95af3f5727513f2,1051401869158878464
41,0x8a9e875eeb70e2a35f0eb34999cc981bc2882f44,1051401869158878464
42,0x8adedee4d877af46c4665be6e38c21c7d4aa8a5b,1051401869158878464
43,0x9220a7470ea712f0b56a3ea1232fd11070eaeff0,1051401869158878464
44,0x925c17961466b39b528ab54568b81d3efb59abcd,1051401869158878464
45,0x95845a669d2e35e25d038cc8813d51ff82938141,1051401869158878464
46,0x98440184426887970b7c3141e3019b6f39406476,1051401869158878464
47,0x99a144ddbc8a0e2938878c2655fc1ce9620639f7,1051401869158878464
48,0x9f13c11426a4794c721948fadbd4cd079e556e37,1051401869158878464
49,0x9fbabba60ac93b65184f8992900b01a03f92d93c,1051401869158878464
50,0x9ffbc8ca4c4790a7887d1f3e0dcd7e879b6ff26a,1051401869158878464
51,0xa85faf1b65984cce06ce587103c4166b929a1281,1051401869158878464
52,0xa9d6ab42f32dc476269db2407715d8c15a36d781,1051401869158878464
53,0xaae7223ed3eb891de6ff6372f12183e12450cc12,1051401869158878464
54,0xadff18dcfbd179fa03f79d6f45bdda6abe801d65,1051401869158878464
55,0xaea38b52d0ba2a6c031c40d11d80b42f31cc3499,1051401869158878464
56,0xaeb2746fe0e7a5b815cb246e06e3d165f1936808,1051401869158878464
57,0xb056e8e084cbb0f2fa65421be98804a767c2fcf1,1051401869158878464
58,0xb23c95807591d6d99e107c27b2c7f8caf997f948,2102803738317756928
59,0xb432cedc06281ffba8f1065ee5e32cee898ebb88,1051401869158878464
60,0xb4351feaa7e77c22ece97fddea9a336a28f159e9,1051401869158878464
61,0xb43b25ec82a030792d4ffac109cdcc353f118d75,1051401869158878464
62,0xb5aeacb1ab32e63445ba5d85ff6539ffbcff2464,1051401869158878464
63,0xbb9cd9e7312e00bcb49c3848116141da0b73a946,1051401869158878464
64,0xbe3fe119c7183673181d726b819ffdd2fdafbd6e,1051401869158878464
65,0xbe6a29a17a63f2903c4cc3f60d08e43558d09bd1,1051401869158878464
66,0xcd4fb7d50246cf2f3e15c49115a3fbb1cac8099f,1051401869158878464
67,0xd0813bf66db3742ce78cd9ebfa2e2f2f7bb14da1,1051401869158878464
68,0xd22fbb207e158218b7c3f79d070b7d910c635dc9,1051401869158878464
69,0xd2424545c5097072d21ba7e46783363696245870,1051401869158878464
70,0xd5aa6c7f5ee7b913d37d3dc28911288abf54f430,1051401869158878464
