index,address,reward
0,0xd2843d9e7738d46d90cb6dff8d6c83db58b9c165,995010820481694040064
1,0x8f6bf4a948af2fc74ee34982c4435a7c013d1a52,4925623091321052160
2,0x669845c29d9b1a64fff66a55aa13eb4adb889a88,63556426984787776
